City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
191,Itarema,BR,77.34,clear sky,-2.9248,-39.9167,"Sea Lounge! Bar, Club & Restaurant"
192,Pandan,PH,79.25,overcast clouds,14.0453,124.1694,Bonifacio Lodge
194,Kavieng,PG,80.08,light rain,-2.5744,150.7967,Nusa Island Retreat
196,Salinopolis,BR,79.75,broken clouds,-0.6136,-47.3561,Salinas Park Resort Maçarico AP101
200,Lorengau,PG,81.88,overcast clouds,-2.0226,147.2712,Lorengau Harbourside Hotel
202,Sungairaya,ID,77.83,overcast clouds,0.7,108.9,Rumah Kuku Moimoi Shelly
203,Sarangani,PH,82.24,scattered clouds,5.4033,125.4636,JVL Inn and Cafeteria
210,Bathsheba,BB,79.41,scattered clouds,13.2167,-59.5167,Atlantis Hotel
211,Cayenne,GF,84.24,scattered clouds,4.9333,-52.3333,Hôtel Le Dronmi
213,Gewane,ET,80.08,overcast clouds,10.1664,40.6453,እንደገና ገዋኔ ሞቴል
216,Meulaboh,ID,75.96,broken clouds,4.1363,96.1285,Kost Pria
217,Zaranj,AF,85.06,clear sky,30.9667,61.8833,کارگاه بلوک زنی سرهنگ
220,Middletown,US,82.74,broken clouds,39.5151,-84.3983,Center of Hope for Women and Children
224,Gamba,GA,69.4,few clouds,-2.65,10.0,
226,Sidi Ali,DZ,88.21,clear sky,36.0998,0.4206,Complexe touristique haje bezine
228,Gat,IL,79.48,clear sky,31.61,34.7642,OlusHome
230,Campbell River,CA,74.44,scattered clouds,50.0163,-125.2446,Anchor Inn & Suites
232,Veraval,IN,80.42,overcast clouds,20.9,70.3667,Lords Inn Somnath
234,Jind,IN,85.98,scattered clouds,29.3167,76.3167,Hotel Deep Palace
236,Niquero,CU,87.78,clear sky,20.0431,-77.5828,Islazul Niquero
239,Ambon,ID,73.54,scattered clouds,-3.6954,128.1814,Swiss-Belhotel Ambon
244,Tiarei,PF,80.62,light rain,-17.5333,-149.3333,Le Rocher de Tahiti
246,Korla,CN,86.68,scattered clouds,41.7597,86.1469,Gulisitan Hotel
248,Fortuna,US,75.92,scattered clouds,40.5982,-124.1573,Super 8 by Wyndham Fortuna
249,Bengkulu,ID,74.73,scattered clouds,-3.8004,102.2655,Grage Hotel Bengkulu
252,Nabire,ID,75.51,scattered clouds,-3.3667,135.4833,Hotel Nusantara I
253,Pemangkat,ID,77.95,overcast clouds,1.1667,108.9667,Hotel Duyung Permai 2
254,Hamilton,US,82.81,overcast clouds,39.1834,-84.5333,Six Acres Bed & Breakfast
255,Iquitos,PE,80.64,broken clouds,-3.7481,-73.2472,Cortez Malaga Techy Caroly
257,Hobyo,SO,76.48,scattered clouds,5.3505,48.5268,Halane Hotel and Restaurent
260,Barra Dos Coqueiros,BR,75.22,clear sky,-10.9089,-37.0386,Quality Hotel Aracaju
261,Natchitoches,US,88.65,clear sky,31.7668,-93.1335,Super 8 by Wyndham Natchitoches
265,Saint-Louis,SN,85.55,overcast clouds,16.3333,-15.0,
267,Angoram,PG,74.59,overcast clouds,-4.0625,144.0661,
271,Senador Guiomard,BR,76.75,clear sky,-10.1522,-67.7392,Paraíso Hotel
273,Copperas Cove,US,82.71,light rain,31.1241,-97.9031,Super 8 by Wyndham Copperas Cove
278,Tecoanapa,MX,86.22,overcast clouds,16.5167,-98.75,Hotel Manglares
279,Point Fortin,TT,83.89,overcast clouds,10.1833,-61.6833,Jus Les' Suites
282,Southbridge,US,83.35,broken clouds,42.0751,-72.0334,Southbridge Hotel & Conference Center
283,Pacific Grove,US,84.54,clear sky,36.6177,-121.9166,Lovers Point Inn
284,Georgetown,MY,81.9,few clouds,5.4112,100.3354,Cititel Penang
287,Padang,ID,77.2,scattered clouds,-0.9492,100.3543,Mercure Padang
289,Cartagena,CO,85.62,broken clouds,10.3997,-75.5144,Hotel Colombia Real - Cartagena
290,Cleveland,US,80.31,clear sky,41.4995,-81.6954,Renaissance Cleveland Hotel
294,Yarada,IN,82.87,overcast clouds,17.65,83.2667,Yarada Jungle Beach Resorts
296,Smoky Lake,CA,78.26,clear sky,54.1169,-112.4686,Country Garden Hotel
297,Chirongui,YT,69.73,light rain,-12.9319,45.1483,La Villa Mahatsara
301,Guerrero Negro,MX,78.15,broken clouds,27.9769,-114.0611,"Casa Laguna, Bed & Breakfast"
303,Praya,CV,80.06,overcast clouds,14.9215,-23.5087,LT Aparthotel
306,Namatanai,PG,80.78,light rain,-3.6667,152.4333,Seagulls Inn Namatani
308,Longhua,CN,75.96,overcast clouds,23.6137,114.1919,Huadu Hotel
312,Guerrero,MX,75.27,overcast clouds,17.6667,-100.0,Villaxochilt
313,Shenjiamen,CN,81.59,scattered clouds,29.9576,122.298,Jinjiang Inn Zhoushan Putuo Shenjiamen
314,Ode,NG,70.23,overcast clouds,7.7899,5.7117,OWONIDADDY HOTEL AND SUITES
318,Russell,US,79.38,light rain,32.3502,-85.1999,Macs
322,Ozinki,RU,78.93,broken clouds,51.1786,49.6769,Korolevskiy Dvor
324,Dolores Hidalgo,MX,81.79,overcast clouds,21.1561,-100.9308,Hotel Hidalgo
332,Pundaguitan,PH,82.13,scattered clouds,6.3711,126.1689,Leonardo Family Beach House 1
333,Aktau,KZ,72.18,clear sky,43.65,51.2,Silk Way Hotel
336,Gizo,SB,81.75,scattered clouds,-8.103,156.8419,Imagination Island
338,Hudson Bay,CA,73.71,clear sky,52.85,-102.3842,Norwood Motel LTD
340,Palmer,US,82.99,few clouds,42.1584,-72.3287,Wedgewood Motel
341,Aquin,HT,82.85,broken clouds,18.2833,-73.4,Asheev Beach
342,Nazilli,TR,74.79,scattered clouds,37.9163,28.3223,Gül Palast
